"Date","WTi","Brent","Dubai"
"2022-08-30","91.64","99.31","102.84"
"2022-08-29","97.01","105.09","100.21"
"2022-08-26","93.06","100.99","99.68"
"2022-08-25","92.52","99.34","99.92"
"2022-08-24","94.89","101.22","99.54"
"2022-08-23","93.74","100.22","96.54"
"2022-08-22","90.23","96.48","93.97"
"2022-08-19","90.77","96.72","94.36"
"2022-08-18","90.5","96.59","92.85"
"2022-08-17","88.11","93.65","90.45"
"2022-08-16","86.53","92.34","92.12"
"2022-08-15","89.41","95.1","94.6"
"2022-08-12","92.09","98.15","98.24"
"2022-08-11","94.34","99.6","96.03"
"2022-08-10","91.93","97.4","94.89"
"2022-08-08","90.76","96.65","94.31"
"2022-08-05","89.01","94.92","93.75"
"2022-08-04","88.54","94.12","95.73"
"2022-08-03","90.66","96.78","98.4"
"2022-08-02","94.42","100.54","98.02"
"2022-08-01","93.89","100.03","101.54"
"2022-07-29","98.62","110.01","107.23"
"2022-07-28","96.42","107.14","105.04"
"2022-07-27","97.26","106.62","101.43"
"2022-07-26","94.98","104.4","104.96"
"2022-07-25","96.7","104.4","104.96"
"2022-07-22","94.7","103.2","102.67"
"2022-07-21","96.35","103.86","101.96"
"2022-07-20","102.26","106.92","104.39"
"2022-07-19","104.22","107.35","104.84"
"2022-07-18","102.6","106.27","102.62"
"2022-07-15","97.59","101.16","98.33"
"2022-07-14","95.78","99.1","97.73"
"2022-07-13","96.3","99.57","98.41"
"2022-07-12","95.84","99.49","102.16"
"2022-07-08","104.79","107.02","104.03"
"2022-07-07","102.73","104.65","98.19"
"2022-07-06","98.53","100.69","101.73"
"2022-07-05","99.5","102.77","111.07"
"2022-07-01","108.43","111.63","106.34"
"2022-06-30","105.76","114.81","113.4"
"2022-06-29","109.78","116.26","114.22"
"2022-06-28","111.76","117.98","113.21"
"2022-06-27","109.57","115.09","110.03"
"2022-06-24","107.62","113.12","106.51"
"2022-06-23","104.27","110.05","106.48"
"2022-06-22","106.19","111.74","106.62"
"2022-06-21","110.65","114.65","111.79"
"2022-06-17","109.56","113.12","116.29"
"2022-06-16","117.59","119.81","114.99"
"2022-06-15","115.31","118.51","116.33"
"2022-06-14","118.93","121.17","118.67"
"2022-06-13","120.93","122.27","115.63"
"2022-06-10","120.67","122.01","118.94"
"2022-06-09","121.51","123.07","118.83"
"2022-06-08","122.11","123.58","116.52"
"2022-06-07","119.41","120.57","115.6"
"2022-06-06","118.5","119.51","115.66"
"2022-06-03","118.87","119.72","112.12"
"2022-06-02","116.87","117.61","108.99"
"2022-06-01","115.26","116.29","112.7"
"2022-05-31","114.67","122.84","116.41"
"2022-05-27","115.07","119.43","112.36"
"2022-05-26","114.09","117.4","108.93"
"2022-05-25","110.33","114.03","109.19"
"2022-05-24","109.77","113.56","107.94"
"2022-05-23","110.29","113.42","109.47"
"2022-05-20","113.23","112.55","108.07"
"2022-05-19","112.21","112.04","105.52"
"2022-05-18","109.59","109.11","109.79"
"2022-05-17","112.4","111.93","110.88"
"2022-05-13","110.49","111.55","106.65"
"2022-05-12","106.13","107.45","102.81"
"2022-05-11","105.71","107.51","102.94"
"2022-05-10","99.76","102.46","103.13"
"2022-05-09","103.09","105.94","107.99"
"2022-05-06","109.77","112.39","107.82"
"2022-05-05","108.26","110.9","106.66"
"2022-05-04","107.81","110.14","104.7"
"2022-04-29","104.69","109.34","105.37"
"2022-04-28","105.36","107.59","102.83"
"2022-04-27","102.02","105.32","103.05"
"2022-04-26","101.7","104.99","99.57"
"2022-04-25","98.54","102.32","99.72"
"2022-04-22","102.07","106.65","105.04"
"2022-04-21","103.79","108.33","106.17"
"2022-04-20","102.75","106.8","105.56"
"2022-04-19","102.56","107.25","108.69"
"2022-04-18","108.21","113.16","108.11"
"2022-04-14","106.95","111.7","105.88"
"2022-04-13","104.25","108.78","102.44"
"2022-04-12","100.6","104.64","98.14"
"2022-04-11","94.29","98.48","97.64"
"2022-04-08","98.26","102.78","98.14"
"2022-04-07","96.03","100.58","97.41"
"2022-04-06","96.23","101.07","103.79"
"2022-04-05","101.96","106.64","105.34"
"2022-04-04","103.28","107.53","101.84"
"2022-04-01","99.27","104.39","101.61"
"2022-03-31","100.28","107.91","107.71"
"2022-03-30","107.82","113.45","108.38"
"2022-03-29","104.24","110.23","108.58"
"2022-03-28","105.96","112.48","110.67"
"2022-03-24","112.34","119.03","115.6"
"2022-03-23","114.83","121.6","111.8"
"2022-03-22","111.76","115.48","111.19"
"2022-03-21","112.12","115.62","109.81"
"2022-03-18","104.7","107.93","106.62"
"2022-03-17","102.98","106.64","100.86"
"2022-03-16","95.04","98.02","102.52"
"2022-03-15","96.44","99.91","99.78"
"2022-03-14","103.01","106.9","109.88"
"2022-03-11","109.33","112.67","110.49"
"2022-03-10","106.01","109.33","115.33"
"2022-03-09","108.7","111.14","127.86"
"2022-03-08","123.7","127.98","122.99"
"2022-03-07","119.4","123.21","125.19"
"2022-03-04","115.68","118.11","108.84"
"2022-03-03","107.67","110.46","116.65"
"2022-03-02","110.6","112.93","110.05"
"2022-03-01","103.41","104.97","98.71"
"2022-02-28","95.72","100.99","96.86"
"2022-02-25","91.59","97.93","95.84"
"2022-02-24","92.81","99.08","98.64"
"2022-02-23","92.1","96.84","93.65"
"2022-02-22","92.35","96.84","96.01"
"2022-02-18","91.07","93.54","90.3"
"2022-02-17","91.76","92.97","91.9"
"2022-02-16","93.66","94.81","92.6"
"2022-02-15","92.07","93.28","93.05"
"2022-02-14","95.46","96.48","92.72"
"2022-02-11","93.1","94.44","90.25"
"2022-02-10","89.88","91.41","90.6"
"2022-02-09","89.66","91.55","89.39"
"2022-02-08","89.36","90.78","90.42"
"2022-02-07","91.32","92.69","90.91"
"2022-02-04","92.31","93.27","90.22"
"2022-02-03","90.27","91.11","87.46"
"2022-01-31","88.15","91.21","88.39"
"2022-01-28","86.82","90.03","87.58"
"2022-01-27","86.61","89.34","87.8"
"2022-01-26","87.35","89.96","86.77"
"2022-01-25","85.6","88.2","84.86"
"2022-01-24","83.31","86.27","86.71"
"2022-01-21","85.14","87.89","85.14"
"2022-01-21","85.14","87.89","85.14"
"2022-01-20","86.9","88.38","86.35"
"2022-01-19","86.96","88.44","86.37"
"2022-01-18","85.43","87.51","86.58"
"2022-01-14","83.82","86.06","83.75"
"2022-01-13","82.12","84.47","82.96"
"2022-01-12","82.64","84.67","82.19"
"2022-01-11","81.22","83.72","79.97"
"2022-01-10","78.23","80.87","80.36"
"2022-01-07","78.9","81.75","80.55"
"2022-01-06","79.46","81.99","78.83"
"2022-01-05","77.85","80.8","78.4"
"2022-01-04","76.99","80","77.51"
"2022-01-03","76.08","78.98","76.88"
"2021-12-31","75.21","77.78","77.12"
"2021-12-30","76.99","79.32","77.24"
"2021-12-29","76.56","79.23","76.91"
"2021-12-28","75.98","78.94","76.47"
"2021-12-27","75.57","78.6","74.37"
"2021-12-24","73.79","76.14","74.37"
"2021-12-23","73.79","76.85","73.54"
"2021-12-22","72.76","75.29","72.56"
"2021-12-21","71.12","73.98","70.56"
"2021-12-20","68.23","71.52","70.11"
"2021-12-17","70.86","73.52","73.36"
"2021-12-16","72.38","75.02","73.37"
"2021-12-15","70.87","73.88","72.01"
"2021-12-14","70.73","73.7","73.39"
"2021-12-13","71.29","74.39","74.11"
"2021-12-10","71.67","75.15","72.73"
"2021-12-09","70.94","74.42","74.48"
"2021-12-08","72.36","75.82","73.83"
"2021-12-07","72.05","75.44","73.22"
"2021-12-06","69.49","73.08","70.12"
"2021-12-03","66.26","69.88","70.79"
"2021-12-02","66.5","69.67","69.13"
"2021-12-01","65.57","68.87","71.13"
"2021-11-30","66.18","70.57","71.88"
"2021-11-29","69.95","73.44","75.17"
"2021-11-26","68.15","72.72","77.38"
"2021-11-25","78.39","82.22","81.44"
"2021-11-24","78.39","82.25","81.86"
"2021-11-23","78.5","82.31","78.47"
"2021-11-22","76.75","79.7","78.42"
"2021-11-19","76.1","78.89","80.89"
"2021-11-18","79.01","80.24","78.66"
"2021-11-17","78.36","80.28","81.01"
"2021-11-16","80.76","82.43","81.96"
"2021-11-15","80.88","82.05","80.89"
"2021-11-12","80.79","82.17","81.57"
"2021-11-11","81.59","82.87","81.83"
"2021-11-10","81.34","82.64","83.97"
"2021-11-09","84.15","84.78","82.24"
"2021-11-08","81.93","83.43","81.99"
"2021-11-04","78.81","80.54","81.89"
"2021-11-03","80.86","81.99","81.89"
"2021-11-02","83.91","84.72","83.31"
"2021-11-01","84.05","84.71","81.99"
"2021-10-29","83.57","84.38","82.57"
"2021-10-28","82.81","84.32","81.91"
"2021-10-27","82.66","84.58","83.46"
"2021-10-26","84.65","86.4","83.94"
"2021-10-25","83.76","85.99","84.37"
"2021-10-22","83.76","85.53","82.57"
"2021-10-21","82.5","84.61","83.12"
"2021-10-20","83.87","85.82","82.56"
"2021-10-19","82.96","85.08","83.03"
"2021-10-18","82.44","84.33","83.89"
"2021-10-15","82.28","84.86","82.99"
"2021-10-14","81.31","84","82.28"
"2021-10-13","80.44","83.18","81.43"
"2021-10-12","80.64","83.42","82.07"
"2021-10-11","80.52","83.65","82.03"
"2021-10-08","79.35","82.39","81.23"
"2021-10-07","78.3","81.95","77.41"
"2021-10-06","77.43","81.08","80.55"
"2021-10-05","78.93","82.56","79.57"
"2021-10-04","77.62","81.26","77.17"
"2021-10-01","75.88","79.28","75.68"
"2021-09-30","75.03","78.52","75.92"
"2021-09-29","74.83","78.64","75.7"
"2021-09-28","75.29","79.09","77.34"
"2021-09-27","75.45","79.53","76.17"
"2021-09-24","73.98","78.09","74.77"
"2021-09-23","73.3","77.25","74.11"
"2021-09-22","72.23","76.19","73.3"
"2021-09-21","70.49","74.36","72.9"
"2021-09-20","70.29","73.92","72.13"
"2021-09-17","71.97","75.34","73.06"
"2021-09-16","72.61","75.67","73.09"
"2021-09-15","72.61","75.46","72.26"
"2021-09-14","70.46","73.6","72.29"
"2021-09-13","70.45","73.51","71.73"
"2021-09-10","69.72","72.92","70.85"
"2021-09-09","68.14","71.45","70.65"
"2021-09-08","69.3","72.6","69.78"
"2021-09-07","68.35","71.69","70.35"
"2021-09-06","69.29","72.22","69.99"
"2021-09-03","69.29","72.61","71.26"
"2021-09-02","69.99","73.03","69.74"
"2021-09-01","68.59","71.59","70.43"
"2021-08-31","68.5","72.99","71.19"
"2021-08-30","69.21","73.41","71.13"
"2021-08-27","68.74","72.7","70.76"
"2021-08-26","67.42","71.07","70.11"
"2021-08-25","68.36","72.25","69.69"
"2021-08-24","67.54","71.05","68.7"
"2021-08-23","65.64","68.75","66.09"
"2021-08-20","62.32","65.18","65.37"
"2021-08-19","63.69","66.45","65.35"
"2021-08-18","65.46","68.23","68.58"
"2021-08-17","66.59","69.03","68.45"
"2021-08-16","67.29","69.51","68.9"
"2021-08-13","68.44","70.59","70.03"
"2021-08-12","69.09","71.31","70.52"
"2021-08-11","69.25","71.44","69.77"
"2021-08-10","68.29","70.63","68.91"
"2021-08-09","66.48","69.04","70.72"
"2021-08-06","68.28","70.7","70.72"
"2021-08-05","69.09","71.29","68.8"
"2021-08-04","68.15","70.38","71.37"
"2021-08-03","70.56","72.41","71.88"
"2021-08-02","71.26","72.89","73.28"
"2021-07-30","73.95","76.33","73.9"
"2021-07-29","73.62","76.05","73.68"
"2021-07-28","72.39","74.74","72.82"
"2021-07-27","71.65","74.48","73.02"
"2021-07-26","71.91","74.5","71.59"
"2021-07-23","72.07","74.1","72.25"
"2021-07-22","71.91","73.79","71.43"
"2021-07-21","70.3","72.23","68.67"
"2021-07-20","67.42","69.35","71.68"
"2021-07-19","66.42","68.62","71.68"
"2021-07-16","71.81","73.59","72.18"
"2021-07-15","71.65","73.47","72.23"
"2021-07-14","73.13","74.76","74.72"
"2021-07-12","74.1","75.16","73.54"
"2021-07-09","74.56","75.55","73.03"
"2021-07-08","72.94","74.12","70.63"
"2021-07-07","72.2","73.43","73.29"
"2021-07-06","73.37","74.53","75.88"
"2021-07-05","75.16","77.16","74.68"
"2021-07-02","75.16","76.17","74.09"
"2021-07-01","75.23","75.84","73.85"
"2021-06-30","73.47","75.13","72.87"
"2021-06-29","72.98","74.76","72.85"
"2021-06-28","72.91","74.68","73.88"
"2021-06-25","74.05","76.18","73.46"
"2021-06-24","73.3","75.56","73.73"
"2021-06-23","73.08","75.19","73.43"
"2021-06-22","73.06","74.81","72.52"
"2021-06-21","73.66","74.9","71.79"
"2021-06-18","71.64","73.51","70.98"
"2021-06-17","71.04","73.08","72.35"
"2021-06-16","72.15","74.39","72.78"
"2021-06-15","72.12","73.99","71.79"
"2021-06-14","70.88","72.86","72.01"
"2021-06-11","70.91","72.69","71.18"
"2021-06-10","70.29","72.52","70.71"
"2021-06-08","70.05","72.22","69.34"
"2021-06-07","69.23","71.49","70.03"
"2021-06-04","69.92","71.89","70.1"
"2021-06-03","68.81","71.31","69.97"
"2021-06-02","68.83","71.35","69.21"
"2021-06-01","67.72","70.25","69.1"
"2021-05-31","66.32","69.32","67.94"
"2021-05-28","66.32","69.63","67.41"
"2021-05-27","66.85","69.46","66.41"
"2021-05-26","66.21","68.87","67.37"
"2021-05-25","66.07","68.65","67.37"
"2021-05-24","66.05","68.46","66.26"
"2021-05-21","63.58","66.44","63.25"
"2021-05-20","62.05","65.11","65.03"
"2021-05-19","63.36","66.66","66.11"
"2021-05-18","65.49","68.71","68.41"
"2021-05-17","66.27","69.46","67.17"
"2021-05-14","65.37","68.71","65.26"
"2021-05-13","63.82","67.05","66.56"
"2021-05-12","66.08","69.32","66.56"
"2021-05-11","65.28","68.55","65.54"
"2021-05-10","64.92","68.32","66.74"
"2021-05-07","64.9","68.28","65.9"
"2021-05-06","64.71","68.09","67.17"
"2021-05-05","65.63","68.96","67.76"
"2021-05-03","64.49","67.56","64.38"
"2021-04-30","63.58","67.25","65.27"
"2021-04-29","65.01","68.56","65.1"
"2021-04-28","63.86","67.27","63.57"
"2021-04-27","62.94","66.42","63.27"
"2021-04-26","61.91","65.65","62.37"
"2021-04-23","62.14","66.11","62.93"
"2021-04-22","61.43","65.4","62.25"
"2021-04-21","61.35","65.32","63.71"
"2021-04-20","62.44","66.57","65.74"
"2021-04-19","63.38","67.05","64.83"
"2021-04-16","63.13","66.77","65.12"
"2021-04-15","63.46","66.94","64.17"
"2021-04-14","63.15","66.58","62.56"
"2021-04-13","60.18","63.67","61.58"
"2021-04-12","59.7","63.28","61.1"
"2021-04-09","59.32","62.95","60.94"
"2021-04-08","59.6","63.2","61.24"
"2021-04-07","59.77","63.16","60.88"
"2021-04-06","59.33","62.74","61.34"
"2021-04-05","58.65","62.15","61.91"
"2021-04-01","61.45","64.86","61.51"
"2021-03-31","59.16","63.54","63.36"
"2021-03-30","60.55","64.14","63.9"
"2021-03-29","61.56","64.98","63.11"
"2021-03-26","60.97","64.57","62.07"
"2021-03-25","58.56","61.95","62.43"
"2021-03-24","61.18","64.41","60.98"
"2021-03-23","57.76","60.79","63"
"2021-03-22","61.55","64.62","63.18"
"2021-03-19","61.42","64.53","62.2"
"2021-03-18","60","63.28","65.29"
"2021-03-17","64.6","68","66.57"
"2021-03-16","64.8","68.39","66.46"
"2021-03-15","65.39","68.88","68.25"
"2021-03-12","65.61","69.22","67.9"
"2021-03-11","66.02","69.63","66.82"
"2021-03-10","64.44","67.9","65.3"
"2021-03-09","64.01","67.52","66.4"
"2021-03-08","65.05","68.24","68.32"
"2021-03-05","66.09","69.36","66.37"
"2021-03-04","63.83","66.74","63.11"
"2021-03-03","61.28","64.07","61.44"
"2021-03-02","59.75","62.7","61.41"
"2021-03-01","60.64","63.69","64.23"
"2021-02-26","61.5","64.42","64.29"
"2021-02-25","63.53","66.88","65.39"
"2021-02-24","63.22","67.04","62.89"
"2021-02-23","61.67","65.37","63.54"
"2021-02-22","61.49","65.24","61.28"
"2021-02-19","59.24","62.91","60.83"
"2021-02-18","60.52","63.93","63.26"
"2021-02-17","61.14","64.34","62.8"
"2021-02-16","60.05","63.35","62.3"
"2021-02-15","59.47","63.3","62.48"
"2021-02-12","59.47","62.43","60.54"
"2021-02-11","58.24","61.14","60.54"
"2021-02-10","58.68","61.47","60.39"
"2021-02-09","58.36","61.09","60.49"
"2021-02-08","57.97","50.56","59.8"
"2021-02-05","56.85","59.34","58.94"
"2021-02-04","56.23","58.84","58.36"
"2021-02-03","55.69","58.46","57.64"
"2021-02-02","54.76","57.46","56.77"
"2021-02-01","53.55","56.35","55"
"2021-01-29","52.2","55.88","54.65"
"2021-01-28","52.34","55.53","54.77"
"2021-01-27","52.85","55.81","55.74"
"2021-01-26","52.61","55.91","55.32"
"2021-01-25","52.77","55.88","55.41"
"2021-01-22","52.27","55.41","55.2"
"2021-01-21","53.13","56.1","55.49"
"2021-01-20","53.24","56.08","56.24"
"2021-01-19","52.98","55.9","55.19"
"2021-01-18","52.36","54.75","54.19"
"2021-01-15","52.36","55.1","55.39"
"2021-01-14","53.57","56.42","55.7"
"2021-01-13","52.91","56.06","56.44"
"2021-01-12","53.21","56.58","55.71"
"2021-01-11","52.25","55.66","55.33"
"2021-01-08","52.24","55.99","54.58"
"2021-01-07","50.83","54.38","54.52"
"2021-01-06","50.63","54.3","53.51"
"2021-01-05","49.93","53.6","50.5"
"2021-01-04","47.62","51.09","52.49"
"2020-12-31","48.52","51.8","51.14"
"2020-12-30","48.4","51.34","51.05"
"2020-12-29","48","51.09","50.97"
"2020-12-28","47.62","50.89","51.07"
"2020-12-24","48.23","51.29","51.28"
"2020-12-23","48.12","51.2","49.61"
"2020-12-22","47.02","50.08","49.75"
"2020-12-21","47.74","50.91","50.26"
"2020-12-18","49.1","52.26","51.11"
"2020-12-17","48.36","51.5","51.46"
"2020-12-16","47.82","51.08","50.85"
"2020-12-15","47.62","50.76","50.17"
"2020-12-14","46.99","50.29","50.65"
"2020-12-11","46.57","49.97","50.47"
"2020-12-10","46.78","50.25","49.03"
"2020-12-09","45.52","48.86","49.14"
"2020-12-08","45.6","48.84","48.3"
"2020-12-07","45.76","48.79","48.29"
"2020-12-04","46.26","49.25","49.04"
"2020-12-03","45.64","48.71","48.06"
"2020-12-02","45.28","48.25","47.08"
"2020-12-01","44.55","47.42","47.59"
"2020-11-30","45.34","47.59","47.02"
"2020-11-27","45.53","48.18","47.13"
"2020-11-26","45.71","47.8","47.49"
"2020-11-25","45.71","48.61","47.87"
"2020-11-24","44.91","47.86","45.86"
"2020-11-23","43.06","46.06","45.61"
"2020-11-20","42.15","44.96","44.19"
"2020-11-19","41.74","44.2","44"
"2020-11-18","41.82","44.34","43.78"
"2020-11-17","41.43","43.75","43.87"
"2020-11-16","41.34","43.82","43.74"
"2020-11-13","40.13","42.78","43.15"
"2020-11-12","41.12","43.53","43.95"
"2020-11-11","41.45","43.8","44.44"
"2020-11-10","41.36","43.61","42.49"
"2020-11-09","40.29","42.4","40.34"
"2020-11-06","37.14","39.45","40.57"
"2020-11-05","38.79","40.93","40.69"
"2020-11-04","39.15","41.23","39.76"
"2020-11-03","37.66","39.71","39.52"
"2020-11-02","36.81","38.98","36.3"
"2020-10-30","35.79","37.46","37.18"
"2020-10-29","36.17","37.65","38.26"
"2020-10-28","37.39","39.12","39.27"
"2020-10-27","39.57","41.2","39.9"
"2020-10-26","38.56","40.46","39.84"
"2020-10-23","39.85","41.77","41.67"
"2020-10-22","40.64","42.46","41.36"
"2020-10-21","40.03","41.73","41.71"
"2020-10-20","41.46","43.16","41.58"
"2020-10-19","40.83","42.62","41.77"
"2020-10-16","40.88","42.93","41.88"
"2020-10-15","40.96","43.16","42.01"
"2020-10-14","41.04","43.32","41.62"
"2020-10-13","40.2","42.45","41.19"
"2020-10-12","39.43","41.72","41.28"
"2020-10-09","40.6","42.85","42.06"
"2020-10-08","41.19","43.34","41.46"
"2020-10-07","39.95","41.99","41.24"
"2020-10-06","40.67","42.65","40.55"
"2020-10-05","39.22","41.29","39.27"
"2020-10-02","37.05","39.27","38.62"
"2020-10-01","38.72","40.93","41.12"
"2020-09-30","40.22","40.95","40.36"
"2020-09-29","39.29","41.03","41.87"
"2020-09-28","40.6","42.43","41.41"
"2020-09-25","40.25","41.92","41.98"
"2020-09-24","40.31","41.94","41.21"
"2020-09-23","39.93","41.77","41.38"
"2020-09-22","39.6","41.72","41.14"
"2020-09-21","39.31","41.44","41.63"
"2020-09-18","41.11","43.15","43.02"
"2020-09-17","40.97","43.3","41.67"
"2020-09-16","40.16","42.22","41.21"
"2020-09-15","38.28","40.53","39.24"
"2020-09-14","37.26","39.61","38.89"
"2020-09-11","37.33","39.83","39.27"
"2020-09-10","37.3","40.06","39.74"
"2020-09-09","38.05","40.79","39.49"
"2020-09-08","36.76","39.78","40.68"
"2020-09-07","39.77","42.01","41.42"
"2020-09-04","39.77","42.66","43.78"
"2020-09-03","41.37","44.07","43.43"
"2020-09-02","41.51","44.43","45.3"
"2020-09-01","42.76","45.58","45.11"
"2020-08-31","42.61","45.28","45.93"
"2020-08-28","42.97","45.05","44.12"
"2020-08-27","43.04","45.09","45.01"
"2020-08-26","43.39","45.64","44.83"
"2020-08-25","43.35","45.86","44.34"
"2020-08-24","42.62","45.13","43.78"
"2020-08-21","45.58","44.35","43.96"
"2020-08-20","42.58","44.9","43.89"
"2020-08-19","42.93","45.37","43.8"
"2020-08-18","42.89","45.46","44.46"
"2020-08-17","42.89","45.37","43.67"
"2020-08-14","42.01","44.8","43.44"
"2020-08-13","42.24","44.96","44.18"
"2020-08-12","42.67","45.43","43.63"
"2020-08-11","41.61","44.5","44.12"
"2020-08-10","41.94","44.99","43.88"
"2020-08-07","41.22","44.4","43.88"
"2020-08-06","41.95","45.09","43.71"
"2020-08-05","42.19","45.17","43.76"
"2020-08-04","41.7","44.43","42.97"
"2020-08-03","41.01","44.15","42.48"
"2020-07-31","40.27","43.3","43.14"
"2020-07-30","39.92","42.94","43.14"
"2020-07-29","41.27","43.75","43.27"
"2020-07-28","41.04","43.22","43.12"
"2020-07-27","41.6","43.41","43.13"
"2020-07-24","41.29","43.34","43.11"
"2020-07-23","41.07","43.31","44.42"
"2020-07-22","41.9","44.29","44.12"
"2020-07-21","41.96","44.32","43.87"
"2020-07-20","40.81","43.28","42.72"
"2020-07-17","40.59","43.14","42.86"
"2020-07-16","40.75","43.37","43.37"
"2020-07-15","41.2","43.79","44.18"
"2020-07-14","40.29","42.9","42.78"
"2020-07-13","40.1","42.72","43.38"
"2020-07-10","40.55","43.24","43.63"
"2020-07-09","39.62","42.35","43.63"
"2020-07-08","40.9","43.29","43.34"
"2020-07-07","40.62","43.08","42.9"
"2020-07-06","40.63","43.1","43.66"
"2020-07-03","40.65","42.8","42.68"
"2020-07-02","40.65","43.14","42.85"
"2020-07-01","39.82","42.03","42.7"
"2020-06-30","39.27","41.15","42.07"
"2020-06-29","39.7","41.71","40.63"
"2020-06-26","38.49","41.02","42.02"
"2020-06-25","38.72","41.05","40.58"
"2020-06-24","38.01","40.31","42.49"
"2020-06-23","40.37","42.63","43.39"
"2020-06-22","40.46","43.08","42.32"
"2020-06-19","39.75","42.19","42.95"
"2020-06-18","38.84","41.51","41.09"
"2020-06-17","37.96","40.71","41.46"
"2020-06-16","38.38","40.96","40.29"
"2020-06-15","37.12","39.72","38.35"
"2020-06-12","36.26","38.73","38.42"
"2020-06-11","36.34","38.55","40.6"
"2020-06-10","39.6","41.73","40.91"
"2020-06-09","39.94","41.18","40.85"
"2020-06-08","38.19","40.8","42.94"
"2020-06-05","39.55","42.3","40.63"
"2020-06-04","37.41","39.99","38.82"
"2020-06-03","37.29","39.79","39.87"
"2020-06-02","36.81","39.57","38.93"
"2020-06-01","35.44","38.32","37.97"
"2020-05-29","35.49","35.33","34.86"
"2020-05-28","33.71","35.29","33.17"
"2020-05-27","32.81","34.74","34.48"
"2020-05-26","34.35","36.17","34.81"
"2020-05-25","33.25","35.53","32.62"
"2020-05-22","33.25","35.13","32.62"
"2020-05-21","33.92","36.06","34.1"
"2020-05-20","33.49","35.75","32.95"
"2020-05-19","32.5","34.65","33.18"
"2020-05-18","31.82","34.81","32.9"
"2020-05-15","29.43","32.5","31.94"
"2020-05-14","27.56","31.13","29.83"
"2020-05-13","25.29","29.19","26.84"
"2020-05-12","25.78","29.98","26.93"
"2020-05-11","24.14","29.63","26.72"
"2020-05-08","24.74","30.97","25.92"
"2020-05-07","23.55","29.46","26.88"
"2020-05-06","23.99","29.72","26.88"
"2020-05-05","24.56","30.97","26"
"2020-05-04","20.39","27.2","24.33"
"2020-05-01","19.78","26.44","20.73"
"2020-04-30","18.84","26.48","20.73"
"2020-04-29","15.06","22.54","17.12"
"2020-04-28","12.34","20.46","16.63"
"2020-04-27","12.78","19.99","17.97"
"2020-04-24","16.94","21.44","18.17"
"2020-04-23","16.5","21.33","18.13"
"2020-04-22","13.78","20.37","13.52"
"2020-04-21","10.01","19.33","17.37"
"2020-04-20","-37.63","25.57","20.78"
"2020-04-17","18.27","28.08","20.61"
"2020-04-16","19.87","27.82","19.72"
"2020-04-15","19.87","27.69","19.68"
"2020-04-14","20.11","29.6","21.66"
"2020-04-13","22.41","31.74","22.31"
"2020-04-09","22.76","31.48","23.32"
"2020-04-08","25.09","32.84","23.52"
"2020-04-07","23.63","31.87","24.88"
"2020-04-06","26.08","33.05","24.87"
"2020-04-03","28.34","34.11","24.51"
"2020-04-02","25.32","29.94","21.55"
"2020-04-01","20.31","24.74","21.23"
"2020-03-31","20.48","22.74","23.43"
"2020-03-30","20.09","22.76","23.24"
"2020-03-27","21.51","24.93","25.04"
"2020-03-26","22.6","26.34","25.74"
